CO,rh,t
,41.625,-3.55
,41.4,-3.675
,38.075,-3.75
,42.525,-3.7
,44.45,-3.65
,44.675,-3.675
,51.95,-3.475
,40.05,-3.275
,50.325,-3.25
0.648,42.025,-2.9
0.648,49.825,-2.625
0.648,49.125,-2.175
0.648,48.975,-2.175
0.648,47.975,-1.875
0.648,37.15,-1.6
0.648,38.6,-1.55
0.648,39.35,-1.575
0.648,40.825,-1.825
0.648,42.075,-2.025
0.648,39.125,-2.175
0.648,51.375,-2.525
0.648,42.5,-2.325
0.648,42.775,-2.4
0.648,40.025,-2.4
0.648,40.15,-2.375
0.648,44.475,-2.475
0.648,42.85,-2.5
0.648,44.975,-2.725
0.648,37.675,-2.775
0.648,39.975,-2.7
0.648,39.425,-2.675
0.648,52.8,-2.65
0.648,52.85,-2.6
0.648,41.6,-2.175
0.648,41.275,-1.7
0.648,40.05,-1.425
0.648,36.05,-1.075
0.648,36.85,-0.85
0.648,36.275,-0.575
0.648,36.5,-0.5
0.648,41.45,-0.65
0.648,41.175,-0.825
0.648,34.85,-1.05
0.648,38.9,-1.15
0.648,49.8,-1.375
0.648,45.05,-1.675
0.648,43.075,-1.675
0.648,36.55,-1.55
0.648,39.775,-1.85
0.648,50.875,-1.8
0.648,50.675,-1.925
0.648,32.275,-1.95
0.648,33.7,-2.025
0.648,38.575,-2.1
0.648,42.825,-2.15
0.648,48.925,-2.15
0.648,40.7,-2.075
0.648,43.65,-1.775
0.648,40.75,-1.3
0.648,51.45,-0.95
0.648,41.275,-0.55
0.648,29,-0.05
0.751,32.425,0.225
0.751,36.775,0.425
0.751,33.675,0.225
0.648,32.9,-0.175
0.648,35.225,-0.575
0.648,39.75,-0.875
0.648,42.925,-0.925
0.648,34.925,-1
0.648,37.675,-1
0.648,35.2,-1.025
0.648,37.575,-1.1
0.648,34,-1.275
0.648,41.725,-1.2
0.648,32.725,-1.125
0.648,36.9,-1.2
0.648,36.875,-1.225
0.648,35.275,-1.575
0.648,36.575,-1.325
0.648,44.525,-1.225
0.648,30.175,-0.375
0.648,31.65,-0.125
0.751,33.9,0.35
0.751,34.525,0.875
0.751,38.05,1
0.751,42.225,1.225
0.751,38.625,1.3
0.751,30.875,0.9
0.751,35.35,0.675
0.751,37.875,0.275
0.751,40.225,0.275
0.751,37.3,0.05
0.751,46.05,0
0.648,49.2,-0.1
0.648,53.925,-0.1
0.648,40.925,-0.125
0.648,45.825,-0.125
0.648,49.025,-0.1
0.648,52.125,-0.2
0.648,51.9,-0.2
0.648,54.075,-0.15
0.648,38.875,-0.1
0.648,38.75,-0.125
0.648,44,-0.125
0.648,49.65,-0.025
0.751,43.425,0.2
0.751,45.6,0.5
0.751,42.675,0.825
0.751,43.55,1.25
